jour,dep,hosp,rea,rad,dc
2020/3/19,54,105,45,2,12
2020/3/19,55,70,6,8,0
2020/3/19,56,84,24,41,18
2020/3/19,57,387,92,30,38
2020/3/19,58,0,0,0,0
2020/3/19,59,276,70,24,10
2020/3/19,06,65,9,96,4
2020/3/19,60,218,42,46,28
2020/3/19,61,4,0,6,0
2020/3/19,62,60,22,50,0
2020/3/19,63,18,2,8,0
2020/3/19,64,18,0,2,0
2020/3/19,65,4,2,0,0
2020/3/19,66,38,22,6,6
2020/3/19,67,598,164,26,36
2020/3/19,68,870,146,260,181
2020/3/19,69,269,44,65,13
2020/3/19,07,20,3,0,0
2020/3/19,70,28,6,6,0
2020/3/19,71,96,6,14,10
2020/3/19,72,16,0,10,0
2020/3/19,73,20,4,10,0
2020/3/19,74,68,19,96,12
2020/3/19,75,902,244,123,44
2020/3/19,76,66,8,6,8
2020/3/19,77,96,26,30,0
2020/3/19,78,184,40,14,12
2020/3/19,79,6,2,6,0
2020/3/19,08,0,0,2,0
2020/3/19,80,147,46,24,4
2020/3/19,81,10,2,4,0
2020/3/19,82,2,0,0,2
2020/3/19,83,54,26,172,4
2020/3/19,84,24,8,18,2
2020/3/19,85,10,2,10,0
2020/3/19,86,14,0,0,2
2020/3/19,87,12,2,4,0
2020/3/19,88,76,12,16,22
2020/3/19,89,10,2,2,4
2020/3/19,09,2,2,4,0
2020/3/19,90,78,18,0,6
2020/3/19,91,164,44,8,2
2020/3/19,92,411,108,62,14
2020/3/19,93,284,89,42,10
2020/3/19,94,362,94,82,20
2020/3/19,95,299,74,64,10
2020/3/20,01,4,0,2,0
2020/3/20,10,24,4,0,0
2020/3/20,11,52,22,26,16
2020/3/20,12,24,4,6,2
2020/3/20,13,347,52,215,8
2020/3/20,14,8,2,6,2
2020/3/20,15,8,2,0,0
2020/3/20,16,2,0,4,0
2020/3/20,17,18,6,4,0
2020/3/20,18,0,0,0,0
2020/3/20,19,2,0,0,0
2020/3/20,02,104,38,80,48
2020/3/20,21,164,62,73,6
2020/3/20,22,10,0,6,2
2020/3/20,23,0,0,0,0
2020/3/20,24,6,6,4,0
2020/3/20,25,86,30,26,8
2020/3/20,26,76,18,4,4
2020/3/20,27,8,2,0,0
2020/3/20,28,24,4,0,2
2020/3/20,29,40,8,12,2
2020/3/20,03,2,0,20,0
2020/3/20,30,16,2,14,2
2020/3/20,31,70,20,32,4
2020/3/20,32,6,6,0,0
2020/3/20,33,20,10,24,4
2020/3/20,34,121,42,48,8
2020/3/20,35,40,18,34,2
2020/3/20,36,8,2,0,0
2020/3/20,37,24,10,0,2
2020/3/20,38,54,4,20,2
2020/3/20,39,12,2,4,0
2020/3/20,04,6,2,6,0
2020/3/20,40,0,0,0,0
2020/3/20,41,8,0,0,0
2020/3/20,42,126,34,18,8
2020/3/20,43,4,4,12,0
2020/3/20,44,60,20,22,2
2020/3/20,45,52,10,4,0
2020/3/20,46,0,0,4,0
2020/3/20,47,20,2,2,0
2020/3/20,48,2,0,0,0
2020/3/20,49,44,8,63,0
2020/3/20,05,26,2,20,0
2020/3/20,50,24,8,4,0
2020/3/20,51,108,22,51,4
2020/3/20,52,16,0,10,8
2020/3/20,53,14,4,6,0
2020/3/20,54,128,51,4,14
2020/3/20,55,92,10,12,0
2020/3/20,56,98,24,48,18
2020/3/20,57,512,122,47,46
2020/3/20,58,2,2,0,0
2020/3/20,59,224,78,30,10
2020/3/20,06,84,13,121,8
2020/3/20,60,246,56,60,36
2020/3/20,61,6,2,6,0
2020/3/20,62,100,40,52,2
2020/3/20,63,8,2,18,0
2020/3/20,64,16,0,4,2
2020/3/20,65,4,2,0,0
2020/3/20,66,52,30,6,8
2020/3/20,67,729,184,84,56
2020/3/20,68,1009,182,337,209
2020/3/20,69,351,63,103,31
2020/3/20,07,28,5,6,2
2020/3/20,70,52,12,10,0
2020/3/20,71,106,10,20,16
2020/3/20,72,16,0,10,0
2020/3/20,73,33,4,16,0
2020/3/20,74,94,15,103,12
2020/3/20,75,1142,289,195,60
2020/3/20,76,96,12,10,10
2020/3/20,77,158,62,42,4
2020/3/20,78,272,66,32,23
2020/3/20,79,10,2,16,0
2020/3/20,08,2,2,2,0
2020/3/20,80,185,59,32,6
2020/3/20,81,12,2,6,0
2020/3/20,82,2,0,0,2
2020/3/20,83,70,34,176,4
2020/3/20,84,26,6,20,2
2020/3/20,85,12,2,10,0
2020/3/20,86,22,0,0,2
2020/3/20,87,14,4,4,0
2020/3/20,88,92,10,16,28
2020/3/20,89,20,6,2,4
2020/3/20,09,4,2,4,0
2020/3/20,90,98,18,0,10
2020/3/20,91,243,56,14,6
2020/3/20,92,507,148,99,22
2020/3/20,93,399,122,70,37
2020/3/20,94,449,119,134,24
2020/3/20,95,383,102,112,20
2020/3/21,01,8,0,2,0
2020/3/21,10,24,4,0,0
2020/3/21,11,52,18,26,18
2020/3/21,12,22,4,8,2
2020/3/21,13,398,66,255,8
2020/3/21,14,12,6,6,2
2020/3/21,15,10,2,0,0
2020/3/21,16,6,2,4,0
2020/3/21,17,22,8,4,0
2020/3/21,18,0,0,0,0
2020/3/21,19,2,0,0,0
2020/3/21,02,122,40,98,50
2020/3/21,21,158,60,89,6
2020/3/21,22,13,1,6,2
2020/3/21,23,2,0,0,0
2020/3/21,24,8,6,4,0
2020/3/21,25,96,42,38,12
2020/3/21,26,86,18,4,4
2020/3/21,27,14,6,0,0
2020/3/21,28,26,4,2,2
2020/3/21,29,40,4,12,2
2020/3/21,03,10,0,20,0
2020/3/21,30,14,2,22,2
2020/3/21,31,102,28,34,4
2020/3/21,32,8,6,0,0
2020/3/21,33,78,30,24,4
2020/3/21,34,130,44,66,8
2020/3/21,35,40,20,36,2
2020/3/21,36,10,4,0,0
2020/3/21,37,24,8,2,2
2020/3/21,38,60,4,26,2
2020/3/21,39,14,2,4,0
2020/3/21,04,8,2,6,0
2020/3/21,40,0,0,0,0
2020/3/21,41,8,0,0,0
2020/3/21,42,142,36,24,12
2020/3/21,43,8,4,12,0
2020/3/21,44,76,22,24,2
2020/3/21,45,60,12,6,0
2020/3/21,46,2,0,6,0
2020/3/21,47,26,2,2,0
2020/3/21,48,2,0,0,0
2020/3/21,49,43,11,70,4
2020/3/21,05,26,2,20,0
2020/3/21,50,30,8,4,0
2020/3/21,51,134,32,54,4
2020/3/21,52,18,0,10,8
2020/3/21,53,14,4,6,0
2020/3/21,54,150,69,4,18
2020/3/21,55,120,12,14,2
2020/3/21,56,124,22,56,24
2020/3/21,57,569,128,67,50
2020/3/21,58,2,2,0,0
2020/3/21,59,158,86,34,10
2020/3/21,06,90,13,121,12
2020/3/21,60,276,56,86,36
2020/3/21,61,8,2,6,0
2020/3/21,62,88,36,54,2
2020/3/21,63,8,2,20,0
2020/3/21,64,20,2,4,2
2020/3/21,65,10,2,0,0
2020/3/21,66,50,30,6,10
2020/3/21,67,830,215,102,62
2020/3/21,68,1026,188,391,242
2020/3/21,69,424,62,109,35
2020/3/21,07,27,5,6,2
2020/3/21,70,52,12,10,0
2020/3/21,71,100,12,28,20
2020/3/21,72,18,0,10,0
2020/3/21,73,36,4,16,0
2020/3/21,74,94,15,110,14
2020/3/21,75,1288,330,243,72
2020/3/21,76,120,20,12,10
2020/3/21,77,178,72,42,6
2020/3/21,78,346,78,60,27
2020/3/21,79,10,2,16,0
2020/3/21,08,6,2,2,0
2020/3/21,80,202,70,42,14
2020/3/21,81,16,2,6,2
2020/3/21,82,6,2,0,2
2020/3/21,83,80,38,196,4
2020/3/21,84,40,10,20,2
2020/3/21,85,8,4,14,0
2020/3/21,86,24,0,2,2
2020/3/21,87,16,4,4,2
2020/3/21,88,109,12,16,32
2020/3/21,89,22,6,2,4
2020/3/21,09,4,2,6,0
2020/3/21,90,122,22,4,12
2020/3/21,91,301,70,16,7
2020/3/21,92,592,162,141,34
2020/3/21,93,436,128,74,39
2020/3/21,94,532,133,158,26
2020/3/21,95,475,112,140,28
2020/3/22,01,16,2,4,0
2020/3/22,10,42,8,0,0
2020/3/22,11,54,18,26,18
2020/3/22,12,26,4,8,2
2020/3/22,13,466,82,265,8
2020/3/22,14,22,8,6,2
2020/3/22,15,10,2,0,0
2020/3/22,16,9,5,4,2
2020/3/22,17,24,8,10,0
2020/3/22,18,0,0,0,0
2020/3/22,19,8,0,0,2
2020/3/22,02,138,42,110,56
2020/3/22,21,201,62,144,8
2020/3/22,22,13,1,6,2
2020/3/22,23,2,0,0,0
2020/3/22,24,12,6,4,0
2020/3/22,25,126,42,40,16
2020/3/22,26,92,22,6,8
2020/3/22,27,24,8,0,0
2020/3/22,28,30,4,4,2
2020/3/22,29,36,4,18,4
2020/3/22,03,10,0,20,0
2020/3/22,30,26,2,22,4
2020/3/22,31,110,32,46,4
2020/3/22,32,8,6,0,0
2020/3/22,33,108,46,26,4
2020/3/22,34,132,44,76,8
2020/3/22,35,54,26,36,2
2020/3/22,36,10,4,0,0
2020/3/22,37,26,10,2,2
2020/3/22,38,72,4,28,2
2020/3/22,39,16,2,4,0
2020/3/22,04,8,2,6,0
2020/3/22,40,0,0,0,0
2020/3/22,41,8,0,0,0
2020/3/22,42,196,46,32,16
2020/3/22,43,10,4,14,0
2020/3/22,44,100,24,28,4
2020/3/22,45,74,24,14,2
2020/3/22,46,2,0,8,0
2020/3/22,47,30,4,2,0
2020/3/22,48,4,0,2,0
2020/3/22,49,44,12,80,4
2020/3/22,05,28,2,22,0
2020/3/22,50,38,10,6,0
2020/3/22,51,184,38,54,6
2020/3/22,52,26,4,10,8
2020/3/22,53,18,4,6,0
2020/3/22,54,209,114,23,31
2020/3/22,55,120,12,14,2
2020/3/22,56,154,30,58,26
2020/3/22,57,662,144,101,64
2020/3/22,58,2,2,0,0
2020/3/22,59,192,86,40,22
2020/3/22,06,88,15,125,14
2020/3/22,60,294,56,94,38
2020/3/22,61,8,2,6,0
2020/3/22,62,98,40,60,2
2020/3/22,63,8,4,22,0
2020/3/22,64,30,2,4,2
2020/3/22,65,10,2,2,0
2020/3/22,66,120,40,8,10
2020/3/22,67,901,219,102,75
2020/3/22,68,1068,180,441,271
2020/3/22,69,547,76,127,45
2020/3/22,07,39,5,6,2
2020/3/22,70,52,12,10,0
2020/3/22,71,130,12,72,24
2020/3/22,72,22,0,12,0
2020/3/22,73,44,4,16,0
2020/3/22,74,109,17,113,14
2020/3/22,75,1449,390,288,80
2020/3/22,76,143,22,12,14
2020/3/22,77,254,82,46,6
2020/3/22,78,409,86,68,27
2020/3/22,79,16,2,20,2
2020/3/22,08,8,2,2,0
2020/3/22,80,245,78,42,16
2020/3/22,81,20,4,8,2
2020/3/22,82,6,2,0,2
2020/3/22,83,112,44,212,4
2020/3/22,84,44,10,22,2
2020/3/22,85,14,10,14,0
2020/3/22,86,26,2,2,2
2020/3/22,87,26,4,4,2
2020/3/22,88,122,16,32,43
2020/3/22,89,26,6,2,4
2020/3/22,09,4,2,6,0
2020/3/22,90,136,28,56,28
2020/3/22,91,391,94,24,8
2020/3/22,92,752,190,173,42
2020/3/22,93,522,146,82,45
2020/3/22,94,607,155,180,34
2020/3/22,95,561,132,162,36
2020/3/23,01,34,6,14,0
2020/3/23,10,66,8,0,4
2020/3/23,11,72,26,26,20
2020/3/23,12,28,4,8,2
2020/3/23,13,595,128,334,8
2020/3/23,14,52,12,10,2
2020/3/23,15,10,4,0,0
2020/3/23,16,11,7,4,2
2020/3/23,17,26,12,12,0
2020/3/23,18,0,0,0,0
2020/3/23,19,9,1,0,4
2020/3/23,02,181,46,124,60
2020/3/23,21,226,68,166,26
2020/3/23,22,17,1,6,2
2020/3/23,23,4,0,0,0
2020/3/23,24,40,6,4,0
2020/3/23,25,130,44,50,20
2020/3/23,26,116,32,10,14
2020/3/23,27,30,8,0,0
2020/3/23,28,65,19,4,4
2020/3/23,29,42,2,18,8
2020/3/23,03,18,0,32,2
2020/3/23,30,30,10,22,4
2020/3/23,31,142,38,52,4
2020/3/23,32,10,6,0,0
2020/3/23,33,136,48,38,6
2020/3/23,34,163,58,84,18
2020/3/23,35,68,28,40,2
2020/3/23,36,32,10,0,4
2020/3/23,37,36,12,2,4
2020/3/23,38,102,14,38,6
2020/3/23,39,20,2,4,0
2020/3/23,04,8,2,6,0
2020/3/23,40,8,0,0,0
2020/3/23,41,12,2,2,0
2020/3/23,42,246,50,40,20
2020/3/23,43,14,6,14,0
2020/3/23,44,114,30,28,6
2020/3/23,45,86,32,17,2
2020/3/23,46,4,0,8,0
2020/3/23,47,36,8,2,2
2020/3/23,48,8,0,2,0
2020/3/23,49,92,20,86,8
2020/3/23,05,38,6,26,0
2020/3/23,50,40,14,8,0
2020/3/23,51,234,56,78,16
2020/3/23,52,26,6,12,8
2020/3/23,53,28,4,6,2
2020/3/23,54,241,110,31,38
2020/3/23,55,171,14,32,4
2020/3/23,56,134,28,72,34
2020/3/23,57,777,166,115,106
2020/3/23,58,6,4,0,0
2020/3/23,59,290,136,60,30
2020/3/23,06,130,25,125,16
2020/3/23,60,347,62,108,58
2020/3/23,61,12,4,14,0
2020/3/23,62,130,56,66,6
2020/3/23,63,14,6,22,0
2020/3/23,64,38,2,10,2
2020/3/23,65,14,2,4,0
2020/3/23,66,166,44,12,12
2020/3/23,67,1064,277,154,98
2020/3/23,68,1254,198,465,313
2020/3/23,69,763,123,147,61
2020/3/23,07,52,5,6,4
2020/3/23,70,52,12,10,0
2020/3/23,71,168,14,100,26
2020/3/23,72,40,4,12,2
2020/3/23,73,52,8,26,2
2020/3/23,74,155,30,121,23
2020/3/23,75,1838,446,393,118
2020/3/23,76,161,28,16,16
2020/3/23,77,321,107,80,6
2020/3/23,78,449,98,82,34
2020/3/23,79,16,2,22,2
2020/3/23,08,12,6,2,0
2020/3/23,80,271,74,44,18
2020/3/23,81,14,6,8,2
2020/3/23,82,4,2,2,2
2020/3/23,83,112,46,228,10
2020/3/23,84,50,16,32,6
2020/3/23,85,19,11,16,0
2020/3/23,86,30,2,2,6
2020/3/23,87,34,4,4,2
2020/3/23,88,129,19,48,63
2020/3/23,89,32,14,2,4
2020/3/23,09,6,6,6,0
2020/3/23,90,188,40,62,48
2020/3/23,91,505,132,36,8
2020/3/23,92,986,252,223,56
2020/3/23,93,661,166,110,55
2020/3/23,94,763,205,216,48
2020/3/23,95,727,162,186,60
2020/3/24,01,44,6,22,0
2020/3/24,10,72,8,0,4
2020/3/24,11,66,22,26,24
2020/3/24,12,38,6,10,2
2020/3/24,13,709,164,392,14
2020/3/24,14,58,20,14,2
2020/3/24,15,14,6,0,0
2020/3/24,16,25,7,4,4
2020/3/24,17,52,12,12,0
2020/3/24,18,4,4,2,0
2020/3/24,19,24,6,0,6
2020/3/24,02,214,54,170,66
2020/3/24,21,228,68,210,44
2020/3/24,22,21,3,6,2
2020/3/24,23,4,0,0,0
2020/3/24,24,48,8,4,0
2020/3/24,25,160,52,60,22
2020/3/24,26,134,42,20,18
2020/3/24,27,30,8,0,0
2020/3/24,28,80,23,6,5
2020/3/24,29,43,2,28,10
2020/3/24,03,18,0,32,2
2020/3/24,30,28,16,28,8
2020/3/24,31,178,56,76,6
2020/3/24,32,16,6,0,0
2020/3/24,33,198,82,54,6
2020/3/24,34,197,68,98,20
2020/3/24,35,66,26,52,4
2020/3/24,36,38,14,0,4
2020/3/24,37,44,12,8,4
2020/3/24,38,118,14,62,6
2020/3/24,39,48,4,8,0
2020/3/24,04,8,2,6,0
2020/3/24,40,8,0,0,0
2020/3/24,41,20,2,12,0
2020/3/24,42,320,58,52,26
2020/3/24,43,16,6,16,0
2020/3/24,44,154,34,46,12
2020/3/24,45,86,32,20,2
2020/3/24,46,4,0,8,0
2020/3/24,47,32,4,4,2
2020/3/24,48,14,4,4,0
2020/3/24,49,116,30,96,10
2020/3/24,05,38,8,32,2
2020/3/24,50,40,12,8,4
2020/3/24,51,290,66,104,20
2020/3/24,52,48,12,22,10
2020/3/24,53,28,4,6,2
2020/3/24,54,322,158,49,48
2020/3/24,55,191,14,40,18
2020/3/24,56,134,28,86,34
2020/3/24,57,1040,201,158,130
2020/3/24,58,6,4,0,0
2020/3/24,59,366,152,64,38
2020/3/24,06,109,23,170,16
2020/3/24,60,378,70,142,76
2020/3/24,61,16,4,20,0
2020/3/24,62,170,68,68,12
2020/3/24,63,30,8,22,0
2020/3/24,64,46,10,14,2
2020/3/24,65,12,2,6,0
2020/3/24,66,182,56,24,14
2020/3/24,67,1239,326,240,137
2020/3/24,68,1421,193,545,372
2020/3/24,69,890,154,190,77
2020/3/24,07,67,7,36,6
2020/3/24,70,74,26,16,6
2020/3/24,71,183,28,191,40
2020/3/24,72,46,6,24,2
2020/3/24,73,56,8,32,2
2020/3/24,74,184,49,146,28
2020/3/24,75,2140,568,461,160
2020/3/24,76,196,36,22,24
2020/3/24,77,335,131,114,22
2020/3/24,78,585,143,118,50
2020/3/24,79,18,2,22,2
2020/3/24,08,10,6,4,0
2020/3/24,80,292,72,55,26
2020/3/24,81,16,6,8,2
2020/3/24,82,6,2,4,2
2020/3/24,83,144,52,234,14
2020/3/24,84,52,16,32,6
2020/3/24,85,30,12,16,0
2020/3/24,86,34,0,10,6
2020/3/24,87,36,6,4,4
2020/3/24,88,151,21,72,71
2020/3/24,89,36,16,2,4
2020/3/24,09,6,6,6,0
2020/3/24,90,218,44,76,54
2020/3/24,91,587,140,74,16
2020/3/24,92,1223,317,299,66
2020/3/24,93,775,197,142,74
2020/3/24,94,926,249,240,54
2020/3/24,95,754,194,256,80
2020/3/25,01,58,12,30,0
2020/3/25,10,88,18,6,12
2020/3/25,11,74,24,34,30
2020/3/25,12,34,8,20,2
2020/3/25,13,728,164,516,24
2020/3/25,14,92,28,14,2
2020/3/25,15,14,8,2,0
2020/3/25,16,34,5,4,8
2020/3/25,17,52,12,14,0
2020/3/25,18,14,10,2,0
2020/3/25,19,30,8,0,6
2020/3/25,02,230,64,174,68
2020/3/25,21,306,84,252,54
2020/3/25,22,30,4,6,2
2020/3/25,23,8,0,0,0
2020/3/25,24,58,10,4,0
2020/3/25,25,168,54,88,24
2020/3/25,26,180,50,26,28
2020/3/25,27,44,12,0,0
2020/3/25,28,98,36,12,7
2020/3/25,29,66,18,34,10
2020/3/25,03,24,0,40,2
2020/3/25,30,38,20,30,10
2020/3/25,31,216,72,88,6
2020/3/25,32,22,6,0,0
2020/3/25,33,286,82,110,12
2020/3/25,34,270,72,108,26
2020/3/25,35,82,28,60,4
2020/3/25,36,46,14,0,10
2020/3/25,37,50,16,18,6
2020/3/25,38,158,32,76,6
2020/3/25,39,56,8,8,0
2020/3/25,04,16,2,32,0
2020/3/25,40,18,4,2,0
2020/3/25,41,22,4,14,0
2020/3/25,42,420,80,58,32
2020/3/25,43,22,8,22,0
2020/3/25,44,178,38,54,14
2020/3/25,45,97,36,26,2
2020/3/25,46,6,2,8,0
2020/3/25,47,34,2,6,2
2020/3/25,48,16,4,4,0
2020/3/25,49,134,32,110,12
2020/3/25,05,46,8,38,2
2020/3/25,50,42,10,16,6
2020/3/25,51,359,82,130,32
2020/3/25,52,46,14,24,10
2020/3/25,53,42,8,6,2
2020/3/25,54,384,166,61,56
2020/3/25,55,213,18,48,22
2020/3/25,56,138,26,104,40
2020/3/25,57,1124,229,225,158
2020/3/25,58,6,4,0,0
2020/3/25,59,478,186,72,40
2020/3/25,06,148,33,184,18
2020/3/25,60,420,86,156,88
2020/3/25,61,22,8,40,2
2020/3/25,62,206,80,84,16
2020/3/25,63,34,8,24,0
2020/3/25,64,64,14,16,6
2020/3/25,65,14,4,6,0
2020/3/25,66,196,60,46,14
2020/3/25,67,1375,368,298,159
2020/3/25,68,1599,211,646,476
2020/3/25,69,1126,226,227,97
2020/3/25,07,83,9,67,8
2020/3/25,70,88,36,22,12
2020/3/25,71,217,38,196,50
2020/3/25,72,52,6,26,2
2020/3/25,73,76,12,36,4
2020/3/25,74,225,59,167,30
2020/3/25,75,2564,656,579,224
2020/3/25,76,250,54,30,26
2020/3/25,77,430,155,138,30
2020/3/25,78,655,174,172,74
2020/3/25,79,22,2,22,2
2020/3/25,08,10,6,4,0
2020/3/25,80,322,78,77,32
2020/3/25,81,32,14,9,2
2020/3/25,82,6,2,4,2
2020/3/25,83,185,60,250,16
2020/3/25,84,66,18,42,6
2020/3/25,85,66,14,16,2
2020/3/25,86,30,0,18,8
2020/3/25,87,40,10,4,6
2020/3/25,88,219,36,88,82
2020/3/25,89,64,22,2,4
2020/3/25,09,14,6,8,0
2020/3/25,90,276,54,84,60
2020/3/25,91,719,158,116,24
2020/3/25,92,1469,373,383,94
2020/3/25,93,920,199,160,92
2020/3/25,94,1087,288,306,68
2020/3/25,95,882,218,310,106
2020/3/26,01,66,12,34,4
2020/3/26,10,114,26,6,12
2020/3/26,11,76,22,46,30
2020/3/26,12,44,10,20,8
2020/3/26,13,848,194,605,32
2020/3/26,14,102,32,22,2
2020/3/26,15,12,8,4,0
2020/3/26,16,35,5,11,8
2020/3/26,17,72,22,30,0
2020/3/26,18,18,12,2,2
2020/3/26,19,32,12,2,6
2020/3/26,02,248,70,174,72
2020/3/26,21,326,80,264,64
2020/3/26,22,44,8,6,2
2020/3/26,23,8,0,0,0
2020/3/26,24,66,8,7,0
2020/3/26,25,168,58,104,36
2020/3/26,26,231,59,52,36
2020/3/26,27,70,18,0,2
2020/3/26,28,114,39,19,16
2020/3/26,29,82,18,40,10
2020/3/26,03,29,1,52,4
2020/3/26,30,34,22,34,10
2020/3/26,31,279,110,98,6
2020/3/26,32,20,6,2,0
2020/3/26,33,330,92,144,22
2020/3/26,34,304,74,140,32
2020/3/26,35,100,28,68,4
2020/3/26,36,46,14,2,10
2020/3/26,37,66,18,24,6
2020/3/26,38,176,36,92,8
2020/3/26,39,90,18,8,0
2020/3/26,04,18,2,32,0
2020/3/26,40,16,6,4,0
2020/3/26,41,32,4,16,0
2020/3/26,42,493,100,64,38
2020/3/26,43,26,12,22,0
2020/3/26,44,181,40,58,18
2020/3/26,45,117,50,36,6
2020/3/26,46,6,2,10,0
2020/3/26,47,32,6,8,6
2020/3/26,48,14,4,6,0
2020/3/26,49,158,40,130,16
2020/3/26,05,58,12,40,2
2020/3/26,50,44,12,18,6
2020/3/26,51,398,88,142,38
2020/3/26,52,72,18,26,14
2020/3/26,53,54,10,6,6
2020/3/26,54,417,186,81,66
2020/3/26,55,231,20,64,24
2020/3/26,56,178,36,114,42
2020/3/26,57,1274,238,284,198
2020/3/26,58,8,4,0,0
2020/3/26,59,566,212,100,54
2020/3/26,06,168,35,188,24
2020/3/26,60,448,90,218,116
2020/3/26,61,28,10,48,2
2020/3/26,62,238,86,104,18
2020/3/26,63,42,8,26,0
2020/3/26,64,78,18,36,8
2020/3/26,65,30,4,10,2
2020/3/26,66,226,70,58,16
2020/3/26,67,1447,407,448,185
2020/3/26,68,1749,234,744,533
2020/3/26,69,1278,224,305,125
2020/3/26,07,91,11,77,10
2020/3/26,70,124,44,26,12
